reaction	linear_coefficient
AGMt2pp	[np.float64(0.5681022767471268)]
ADCPS1	[0.7433294642960308]
ACALDtpp	[0.6163645538090758]
ADCS	[0.6032232083485813]
AGMtex	[0.46825255981593544]
AGPAT120	[0.4568247901805857]
AGPAT140	[0.4568247901805857]
ACANTHAT	[0.6109719452434385]
ACBIPGT	[0.8566946802076806]
ACCOAC	[0.6021198328519421]
ACGAL1Ptex	[0.46825255981593544]
ADNCYC	[0.7433294642960308]
ADCYRS	[0.707030344465155]
ADD	[0.6872254052496486]
AGPAT141	[0.4568247901805857]
ALAtex	[0.46825255981593544]
AGPAT160	[0.4568247901805857]
AGPAT161	[0.4568247901805857]
AGPAT180	[0.4568247901805857]
AGPAT181	[0.4568247901805857]
AGPR	[0.8505742681507886]
AGt3	[0.6161149884064464]
ADEt2rpp	[0.5489363768809916]
ADEtex	[0.46825255981593544]
ADK1	[0.384895010021628]
ADK3	[0.384895010021628]
ADK4	[0.384895010021628]
ADMDC	[0.7433294642960308]
ARGt3pp	[np.float64(0.5681022767471268)]
ARGtex	[0.46825255981593544]
AHCi	[0.6084243878913845]
AHCYSNS	[0.5873995618322739]
23DK5MPPISO	[0.6163645538090758]
ALCD19	[0.6140662841338834]
ASAD	[0.43149795900216514]
ASCBPL	[0.46825255981593544]
AICART	[0.7208774766271615]
AIRC2	[0.7433294642960308]
AIRC3	[0.8725497417650027]
AKGDH	[0.46825255981593544]
ASCBptspp	[np.float64(0.5681022767471268)]
ASCBtex	[0.46825255981593544]
ASNN	[np.float64(0.5681022767471268)]
AKGt2rpp	[0.6084243878913845]
ALCD2x	[0.5845431378369166]
AKGtex	[0.46825255981593544]
ALAALAabcpp	[0.5406898794703616]
ALAALAr	[0.7433294642960308]
ALAALAtex	[0.46825255981593544]
ALAGLUE	[0.5582800782932622]
ASNNpp	[0.4553443121815153]
ASNS1	[0.5656087255088673]
ASNS2	[0.7335704354597983]
ASNTRS	[0.4109307028832185]
ASNt2rpp	[0.6878306920700052]
ASNtex	[0.46825255981593544]
ASO3t8pp	[0.7433294642960308]
ALCD3ir	[0.7197512672546814]
ASO3tex	[0.46825255981593544]
ASP1DC	[0.7433294642960308]
ASPCT	[np.float64(0.5681022767471268)]
ALDD19xr	[0.6889145258016037]
ASPK	[np.float64(0.5681022767471268)]
ASPO3	[0.7433294642960308]
ALAR	[0.7072859484217623]
ALATA_D2	[0.6871758442769276]
ALDD2x	[0.5790523668524474]
ALATA_L	[0.6163645538090758]
ALATA_L2	[0.6871758442769276]
ASPO4	[0.7433294642960308]
ASPO5	[0.7433294642960308]
ALDD2y	[0.5504365826684714]
ASPO6	[0.7433294642960308]
ALATRS	[np.float64(0.5681022767471268)]
ALDD3y	[0.5504365826684714]
ALAabcpp	[0.37230088723661325]
ALAt2pp	[0.46825255981593544]
ASPT	[0.5584502552230894]
ASPTA	[np.float64(0.5681022767471268)]
ASPTRS	[np.float64(0.5681022767471268)]
ASPabcpp	[0.4359083207107949]
ASPt2_2pp	[0.5668362853452799]
ASPt2_3pp	[np.float64(0.5681022767471268)]
ALAt4pp	[0.5776973377623102]
ALLPI	[0.9911204724823091]
ASPt2pp	[np.float64(0.5681022767471268)]
ASPtex	[0.46825255981593544]
AST	[0.6109719452434385]
BZDIOLDH	[0.938112961358253]
ALLTAMH	[0.7715601056426244]
ALLTN	[0.7433294642960308]
BZt	[0.6163645538090758]
ALLULPE	[0.5898302389061245]
ATHRDHr	[np.float64(0.5681022767471268)]
ATPM	[0.6163645538090758]
ATPPRT	[np.float64(0.5681022767471268)]
ALLtex	[0.46825255981593544]
ATPS4rpp	[0.5418684718977994]
BALAt2pp	[0.46825255981593544]
BALAtex	[0.46825255981593544]
BETALDHx	[0.6084503232630878]
CA2t3pp	[0.7143951690880184]
