reaction	linear_coefficient
AOXSr	[0.36418663102955834]
CYTBDpp	[0.007031088234525529]
CYTBO3_4pp	[0.0026563662935559095]
CYTD	[0.010907370510271778]
CYTDH	[np.float64(0.0037751224030668573)]
CYTDK2	[0.011492795681219695]
DCYTt2pp	[0.006322627357656415]
DCYTtex	[0.005867275432420022]
AP4AH	[0.0065652731950216125]
DDCAtexi	[0.004978997563790298]
DDGALK	[0.24670139391035847]
CYTDt2pp	[0.006322627357656415]
CYTDtex	[0.00044489429360646855]
CYTK1	[np.float64(0.0037751224030668573)]
DDGLCNt2rpp	[0.36418663102955834]
DDGLCNtex	[0.00044489429360646855]
CYTK2	[np.float64(0.0037751224030668573)]
AP5AH	[0.0065652731950216125]
D_LACt2pp	[0.1690045981533001]
D_LACtex	[0.00044489429360646855]
DDGLK	[0.010907370510271778]
DDPA	[0.002864150222861964]
DDPGALA	[0.36418663102955834]
D5KGK	[0.36418663102955834]
DGK1	[np.float64(0.0037751224030668573)]
APPLDHr	[0.011996981791048779]
DGMPtex	[0.00044489429360646855]
DGSNt2pp	[0.36418663102955834]
DGSNtex	[0.00044489429360646855]
D5KGPA	[0.011996981791048779]
DAAD	[0.0023143334964889272]
DHAD1	[0.010327059149643575]
DACTt3	[0.011996981791048779]
DADA	[0.00314554728475137]
DADK	[0.005280696090250054]
DADNt2pp	[0.006322627357656415]
DHAD2	[0.010327059149643575]
APRAUR	[0.004548385973321327]
DHAK	[0.24670139391035847]
DHAPT	[0.0025264714377047867]
DADNtex	[0.005867275432420022]
DAGK120	[0.009965825669121055]
DAGK140	[0.009965825669121055]
DHAtex	[0.00044489429360646855]
DHAtpp	[0.011996981791048779]
DAGK141	[0.009965825669121055]
APTNAT	[np.float64(0.0037751224030668573)]
DAGK160	[0.009965825669121055]
DHBD	[0.36418663102955834]
DHBS	[0.36418663102955834]
DHBSH	[0.011996981791048779]
DAGK161	[0.009965825669121055]
ARAI	[0.36418663102955834]
DAGK180	[0.009965825669121055]
DAGK181	[0.009965825669121055]
DHCINDO	[0.36418663102955834]
DHDPRy	[0.0038491931010867604]
DHDPS	[0.0029838827525202677]
DHEDAA	[0.010693738070993277]
DALAt2pp	[0.0026425919301260336]
DALAtex	[0.00044489429360646855]
ARAT	[np.float64(0.0037751224030668573)]
DAMPtex	[0.00044489429360646855]
DAPAL	[0.36418663102955834]
DHFR	[0.004807732417914866]
DHFS	[0.010341012482962337]
DHNAOT4	[0.36418663102955834]
DHNPA2r	[0.07553601404654282]
DHORD2	[0.03865134692277772]
DAPAT	[0.011996981791048779]
DAPDC	[0.36418663102955834]
DHORD5	[0.03865134692277772]
ARBTNabcpp	[0.011729682147820065]
DHORTS	[0.044002512285435016]
DAPE	[np.float64(0.0037751224030668573)]
DAPtex	[0.00044489429360646855]
DASYN120	[0.005484140505833499]
DHPACCOAHIT	[0.0031835523769327898]
ARBt2rpp	[0.36418663102955834]
DHPDO	[np.float64(0.0037751224030668573)]
DHPPDA2	[0.004548385973321327]
DASYN140	[0.005484140505833499]
DASYN141	[0.005484140505833499]
DHPS2	[0.03643419826348136]
DASYN160	[0.005484140505833499]
ARBt3ipp	[0.36418663102955834]
DASYN161	[0.005484140505833499]
DASYN180	[0.005484140505833499]
DHPTPE	[np.float64(0.0037751224030668573)]
DHQS	[np.float64(0.0037751224030668573)]
DHQTi	[0.004061518114035207]
DASYN181	[0.005484140505833499]
DIMPtex	[0.00044489429360646855]
ARBtex	[0.00044489429360646855]
DINSt2pp	[0.36418663102955834]
DINStex	[0.00044489429360646855]
DB4PS	[0.0021709868342063175]
DBTS	[0.36418663102955834]
DCAtex	[0.00044489429360646855]
DCMPtex	[0.00044489429360646855]
DCTPD	[np.float64(0.0037751224030668573)]
DKDID	[0.05264076825431193]
DKGLCNR1	[0.004470752961793577]
DKGLCNR2x	[0.006693470545510929]
DCYTD	[0.010907370510271778]
ARD_1	[0.011996981791048779]
DKGLCNR2y	[0.006693470545510929]
DKMPPD	[0.011996981791048779]
DKMPPD3	[0.011996981791048779]
DMATT	[0.005085019785456431]
DMPPS	[0.004061518114035207]
DMQMT	[np.float64(0.0037751224030668573)]
DNTPPA	[0.006656699159017143]
DOPAtex	[0.00044489429360646855]
ARD1	[0.010430433373040964]
DPCOAK	[0.008786066815152918]
DMSOR1	[0.36418663102955834]
DPR	[0.010453318511648942]
ARGDCpp	[np.float64(0.0037751224030668573)]
DRPA	[0.008308891925326658]
DSBAO1	[np.float64(0.0037751224030668573)]
DMSOR2	[0.36418663102955834]
DMSOtex	[0.00044489429360646855]
DMStex	[0.00044489429360646855]
DSBAO2	[np.float64(0.0037751224030668573)]
ARGORNt7pp	[0.36418663102955834]
DSBCGT	[0.004508336708343038]
DSBDR	[0.0023331392383048196]
DSBGGT	[0.008206799265468535]
DSERDHr	[np.float64(0.0037751224030668573)]
DSERt2pp	[0.0026425919301260336]
DNAMTn2r	[0.003879781236188431]
DNMPPA	[0.011996981791048779]
DSERtex	[0.00044489429360646855]
ARGSL	[np.float64(0.0037751224030668573)]
ARGSS	[np.float64(0.0037751224030668573)]
ARGTRS	[0.00800900905110665]
DTMPK	[0.007711135875088314]
ECOAH8	[0.0034570894407536436]
EDA	[0.007711135875088314]
EDD	[0.36418663102955834]
DTMPtex	[0.00044489429360646855]
ARGabcpp	[0.0021356789492379493]
DUMPtex	[0.00044489429360646855]
DURIK1	[np.float64(0.0037751224030668573)]
EDTXS1	[0.003931757068791163]
EDTXS2	[0.007051425904747772]
EDTXS3	[np.float64(0.0037751224030668573)]
EDTXS4	[0.007051425904747772]
DURIPP	[0.0031071059121082767]
EX_cellb_e	[0.011996981791048779]
DURIt2pp	[0.006322627357656415]
DURItex	[0.005867275432420022]
DUTPDP	[0.007255395747129922]
DXPRIi	[0.007846766935129852]
DXPS	[0.006000258892403832]
ENO	[0.003131718932209575]
2OH3K5MPPISO	[0.011996981791048779]
ENTCS	[0.36418663102955834]
ENTERES	[0.008206799265468535]
ENTERES2	[0.008206799265468535]
ETHAAL	[0.13621607877956052]
DXYLK	[0.36418663102955834]
E4PD	[np.float64(0.0037751224030668573)]
EAR100x	[np.float64(0.0037751224030668573)]
EAR100y	[np.float64(0.0037751224030668573)]
EAR120x	[np.float64(0.0037751224030668573)]
FDH5pp_1	[0.0035835279916302874]
EAR120y	[np.float64(0.0037751224030668573)]
EAR121x	[np.float64(0.0037751224030668573)]
